"COD_LOJA","NOME_LOJA","CIDADE_LOJA","Valor Ano Anterior","Valor Atual","Variacao (%)"
C18594,SUPER MUFFATO FINAL 59 CENTRO,CASCAVEL,885.00,531.00,-40.00
C18491,SUPER MUFFATO FINAL-59,CIANORTE,1675.20,483.60,-71.13
C18602,SUPER MUFFATO FINAL 15 TOCANTINS,TOLEDO,625.80,354.00,-43.43
C18598,SUPER MUFFATO FINAL 70 SANTO ONOFRE,CASCAVEL,224.40,354.00,57.75
C18573,SUPER MUFFATO FINAL 56,MARINGÁ,1533.00,324.00,-78.86
C18570,SUPER MUFFATO FINAL 36,MARINGÁ,1114.20,324.00,-70.92
C18600,SUPER MUFFATO FINAL 30,TOLEDO,177.00,260.99,47.45
C18599,SUPER MUFFATO FINAL 26 ,CASCAVEL,448.80,224.40,-50.00
C18597,SUPER MUFFATO FINAL 00 COQUEIRAL,CASCAVEL,885.00,177.00,-80.00
C18494,SUPER MUFFATO FINAL-02,PARANAVAÍ,1438.20,0.00,-100.00
C18595,SUPER MUFFATO FINAL 67,CASCAVEL,885.00,0.00,-100.00
C18603,SUPER MUFFATO FINAL 05,MARECHAL CÂNDIDO RONDON,625.80,0.00,-100.00
C18601,SUPER MUFFATO FINAL 17,CASCAVEL,448.80,0.00,-100.00
C18530,SUPER MUFFATO FINAL-63,PATO BRANCO,289.20,0.00,-100.00
C18565,SUPER MUFFATO FINAL 74,FOZ DO IGUACU,0.00,0.00,-100.00
C18616,SUPER MUFFATO - FINAL 97,MEDIANEIRA,0.00,0.00,-100.00
C19199,SUPER MUFFATO FINAL  - 68,PRESIDENTE PRUDENTE,0.00,0.00,-100.00
C19201,SUPER MUFFATO FINAL - 00,PRESIDENTE PRUDENTE,0.00,0.00,-100.00
C19552,SUPER MUFFATO LOJA - 84,CASTRO,0.00,0.00,-100.00
C19718,SUPER MUFFATO - 27,GUAÍRA,0.00,0.00,-100.00
C20419,SUPER MUFFATO FILIAL 1878 CD,MIRASSOL,0.00,0.00,-100.00
