"COD_LOJA","NOME_LOJA","PERIODO","COD_PRODUTO","NOME_PRODUTO","Qtd Ano Ant","Valor Ano Ant","Qtd Atual","Valor Atual","Variacao (%)"
C18478,SUPER MUFFATO FINAL 82,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,15.00,972.00,0.00
C18478,SUPER MUFFATO FINAL 82,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,15.00,711.00,400.00
C18479,SUPER MUFFATO FINAL -27,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,20.00,1296.00,33.33
C18479,SUPER MUFFATO FINAL -27,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,25.00,1185.00,733.33
C18480,SUPER MUFFATO FINAL 40,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,20.00,948.00,566.67
C18480,SUPER MUFFATO FINAL 40,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,10.00,648.00,-33.33
C18481,SUPER MUFFATO FINAL 06,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,40.00,2592.00,166.67
C18481,SUPER MUFFATO FINAL 06,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,14.00,663.60,180.00
C18482,SUPER MUFFATO FINAL 10,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,25.00,1620.00,66.67
C18482,SUPER MUFFATO FINAL 10,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,12.00,568.80,300.00
C18483,SUPER MUFFATO FINAL 01,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,40.00,2592.00,30.00,1944.00,-25.00
C18483,SUPER MUFFATO FINAL 01,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,10.00,474.00,12.00,568.80,20.00
C18484,SUPER MUFFATO FINAL-72,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,30.00,1944.00,100.00
C18484,SUPER MUFFATO FINAL-72,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,12.00,568.80,140.00
C18485,SUPER MUFFATO FINAL-54,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,35.00,2268.00,250.00
C18485,SUPER MUFFATO FINAL-54,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,2.00,94.80,18.00,853.20,800.00
C18486,SUPER MUFFATO FINAL 64,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,15.00,972.00,35.00,2268.00,133.33
C18486,SUPER MUFFATO FINAL 64,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,18.00,853.20,500.00
C18487,SUPER MUFFATO FINAL 55,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,25.00,1620.00,150.00
C18487,SUPER MUFFATO FINAL 55,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,12.00,568.80,300.00
C18488,SUPER MUFFATO FINAL-65,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,20.00,1296.00,40.00,2592.00,100.00
C18488,SUPER MUFFATO FINAL-65,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,18.00,853.20,500.00
